epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.2902,1.50217,3.8356,1.54613,0.02243,0.26001,0.04575,0.02782,1.38255,3.88401,1.47176,8.568e-05,8.568e-05,8.568e-05
2,12.5806,1.39922,3.63404,1.52005,0.01961,0.24202,0.07011,0.03794,1.49689,3.88772,1.53615,0.00017261,0.00017261,0.00017261
3,16.6089,1.38298,3.31791,1.48688,0.01025,0.20665,0.07631,0.03231,1.77623,3.82357,1.76142,0.000253413,0.000253413,0.000253413
4,20.6488,1.34338,2.85672,1.46529,0.87565,0.0953,0.13056,0.06428,1.88086,3.46885,1.84679,0.00032809,0.00032809,0.00032809
5,25.953,1.35909,2.56215,1.48239,0.6583,0.14437,0.15436,0.0642,1.92108,3.16629,1.89502,0.000396641,0.000396641,0.000396641
6,29.777,1.33751,2.40385,1.45037,0.43124,0.2334,0.25788,0.11113,1.87931,3.0209,1.8874,0.000459066,0.000459066,0.000459066
7,33.6143,1.31143,2.29129,1.45478,0.40623,0.22944,0.25538,0.10804,1.94855,2.88849,1.93933,0.000515365,0.000515365,0.000515365
8,38.5928,1.31024,2.1951,1.45114,0.4115,0.37133,0.33883,0.14961,1.90384,2.47533,1.88956,0.000549066,0.000549066,0.000549066
9,42.7803,1.27586,2.0409,1.42575,0.34114,0.3239,0.29308,0.12449,1.90912,2.44306,1.89082,0.000525504,0.000525504,0.000525504
10,46.5299,1.24414,1.94565,1.40347,0.25717,0.34676,0.29417,0.14722,1.82241,2.50969,1.7988,0.000501942,0.000501942,0.000501942
11,51.6543,1.25717,1.93257,1.43021,0.44872,0.32761,0.3056,0.14605,1.86364,2.32299,1.84586,0.00047838,0.00047838,0.00047838
12,55.6502,1.21435,1.8252,1.41939,0.36267,0.37169,0.30392,0.13938,1.95934,2.41271,1.95372,0.000454818,0.000454818,0.000454818
13,59.431,1.16982,1.71829,1.3943,0.40676,0.38351,0.32321,0.13584,2.00795,2.37676,1.96912,0.000431256,0.000431256,0.000431256
14,64.3767,1.20841,1.68763,1.39342,0.45311,0.37682,0.35271,0.14798,2.04558,2.33248,2.03247,0.000407694,0.000407694,0.000407694
15,68.4231,1.13523,1.67539,1.34886,0.48695,0.39427,0.39702,0.16265,2.04153,2.27211,2.01455,0.000384132,0.000384132,0.000384132
16,72.3725,1.16666,1.65629,1.37384,0.49571,0.33748,0.33003,0.13493,2.13992,2.29678,2.12138,0.00036057,0.00036057,0.00036057
17,77.0607,1.18141,1.63113,1.35286,0.54016,0.383,0.37973,0.16526,2.03492,2.1714,2.05792,0.000337008,0.000337008,0.000337008
18,81.5551,1.15857,1.58423,1.36727,0.57641,0.4232,0.41246,0.17866,2.02129,2.08379,1.99742,0.000313446,0.000313446,0.000313446
19,85.4359,1.11842,1.54598,1.3572,0.57487,0.45518,0.48615,0.19192,1.97129,1.94376,1.94592,0.000289884,0.000289884,0.000289884
20,89.8645,1.11388,1.54177,1.33846,0.48263,0.46574,0.47069,0.19156,1.94577,1.98815,1.91724,0.000266322,0.000266322,0.000266322
21,98.0587,1.14394,1.55767,1.38099,0.4959,0.42487,0.44721,0.18235,1.96157,1.97405,1.9196,0.00024276,0.00024276,0.00024276
22,102.212,1.10949,1.48624,1.35499,0.47379,0.41272,0.38016,0.16739,1.98281,2.07111,1.94533,0.000219198,0.000219198,0.000219198
23,107.278,1.08508,1.43403,1.35566,0.4765,0.40842,0.38178,0.17716,1.92491,1.98813,1.90708,0.000195636,0.000195636,0.000195636
24,111.072,1.08038,1.41162,1.32727,0.55563,0.42511,0.41613,0.1894,1.87675,1.89596,1.88157,0.000172074,0.000172074,0.000172074
25,114.943,1.05359,1.37692,1.31082,0.63408,0.46311,0.49472,0.20671,1.87557,1.82621,1.8541,0.000148512,0.000148512,0.000148512
26,119.996,1.04359,1.35093,1.30883,0.71951,0.42581,0.513,0.22591,1.85532,1.78188,1.83646,0.00012495,0.00012495,0.00012495
27,123.923,1.03129,1.30865,1.29019,0.6742,0.45015,0.52843,0.23021,1.83619,1.77796,1.81417,0.000101388,0.000101388,0.000101388
28,127.709,1.02508,1.33837,1.28651,0.69002,0.45032,0.52798,0.23045,1.81525,1.78057,1.79408,7.7826e-05,7.7826e-05,7.7826e-05
29,132.763,1.03341,1.33201,1.29271,0.62972,0.46412,0.52533,0.2282,1.81064,1.76236,1.79004,5.4264e-05,5.4264e-05,5.4264e-05
30,136.518,0.98347,1.30253,1.27395,0.63742,0.46938,0.52944,0.22891,1.80996,1.75448,1.78537,3.0702e-05,3.0702e-05,3.0702e-05
